10.3897,Pensoft Publishers
10.30681,Universidade do Estado do Mato Grosso - UNEMAT
10.3348,The Korean Society of Radiology
10.1523,Society for Neuroscience
10.31232,Center for Open Science
10.3399,Royal College of General Practitioners
10.1309,American Society for Clinical Pathology (ASCP)
10.1097,Ovid Technologies (Wolters Kluwer Health)
10.31219,Center for Open Science
10.11647,Open Book Publishers
10.4097,The Korean Society of Anesthesiologists
10.1093,Oxford University Press (OUP)
10.29328,Heighten Science Publications Corporation
10.5731,"Parenteral Drug Association, Inc."
10.32634,Agrarian Science
10.26787,Technomed Holdings LLC
10.3748,Baishideng Publishing Group Inc.
10.5209,Universidad Complutense de Madrid (UCM)
10.2172,Office of Scientific and Technical Information  (OSTI)
10.1056,Massachusetts Medical Society
10.15190,"Applied Systems, srl"
10.37015,Pringma LLC
10.13175,Southwest Journal of Pulmonary and Critical Care
10.31032,BPAS Publishers LLP
10.37711,Universidad de Huanaco
10.1024,Hogrefe Publishing Group
10.21292,New Terra
10.1103,American Physical Society (APS)
10.3144,"Department of Polymer Engineering, Scientific Society of Mechanical Engineering"
10.24920,Chinese Medical Sciences Journal
10.35241,Emerald
10.15326,COPD Foundation
10.5501,Baishideng Publishing Group Inc.
10.17646,KOME Journal
10.21926,LIDSEN Publishing Inc
10.1258,SAGE Publications
10.15361,FUNEP
10.35839,Universidad Nacional Hermilio Valdizan
10.33889,"International Journal of Mathematical, Engineering and Management Sciences plus Mangey Ram"
10.5772,IntechOpen
10.34067,American Society of Nephrology (ASN)
10.2298,National Library of Serbia
10.26452,GP Innovations Pvt. Ltd.
10.3410,Faculty Opinions Ltd
10.1148,Radiological Society of North America (RSNA)
10.31531,Edwiser International
10.37065,Hospital Regional Lambayeque
10.17525,Sociedade Brasileira de Virologia
10.5578,Bilimsel Tip Publishing House
10.20514,"Synapse, LLC"
10.1006,Elsevier BV
10.24110,"Pediatria, Ltd."
10.1128,American Society for Microbiology
10.15408,LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta
10.15171,International Society for Phytocosmetic Sciences
10.2991,Atlantis Press
10.1074,American Society for Biochemistry & Molecular Biology (ASBMB)
10.2139,Elsevier BV
10.29090,"Faculty of Pharmacy, Mahidol University"
10.26544,Revista Eletronica Evidencia e Enfermagem
10.34051,University of New Hampshire Libraries
10.14295,Lepidus Tecnologia
10.21007,University of Tennessee Health Science Center Library
10.18860,Maulana Malik Ibrahim State Islamic University
10.4267,INIST-CNRS
10.5935,GN1 Genesis Network
10.3998,University of Michigan Library
10.1213,Ovid Technologies (Wolters Kluwer Health)
10.1086,University of Chicago Press
10.1042,Portland Press Ltd.
10.31073,Publishing House of National Academy Agrarian Sciences of Ukraine
10.4274,Galenos Yayinevi
10.17749,IRBIS
10.31688,Uniunea Medicala Balcanica
10.2741,Frontiers in Bioscience
10.12957,Universidade de Estado do Rio de Janeiro
10.1053,Elsevier BV
10.1501,Ankara University
10.3851,International Medical Press
10.1527,Japanese Society for Artificial Intelligence
10.3138,University of Toronto Press Inc. (UTPress)
10.5799,Association of Health Investigations
10.3844,Science Publications
10.22143,Asia Culture Academy of Incorporated Association
10.18683,Asociatia Pentru Cresterea Vizibilitatii Cercetarii Stiintifice (ACVCS)
10.22516,Asociacion Colombiana de Gastroenterologia
10.2478,Walter de Gruyter GmbH
10.37111,BRASPEN Journal
10.21521,Medycyna Weterynaryjna - Redakcja
10.35543,Center for Open Science
10.2105,American Public Health Association
10.20883,Poznan University of Medical Sciences
10.36557,Brazilian Journal of Implantology and Health Sciences
10.1107,International Union of Crystallography (IUCr)
10.29062,STIE Mahardika
10.4038,Sri Lanka Journals Online (JOL)
10.7861,Royal College of Physicians
10.5334,"Ubiquity Press, Ltd."
10.1007,Springer Science and Business Media LLC
10.14205,Pharma Publisher
10.31589,Journal Of Social Humanities and Administrative Sciences
10.1002,Wiley
10.1172,American Society for Clinical Investigation
10.17511,Siddharth Health Research and Social Welfare Society
10.12662,Instituto para o Desenvolvimento da Educacao
10.5210,University of Illinois Libraries
10.12681,National Documentation Centre (EKT)
10.1017,Cambridge University Press (CUP)
10.1176,American Psychiatric Association Publishing
